INFO 2026-07-01 14:46:43,785 middleware 50088 59072 GET /api/grants/opportunities/?page=1 200 0.009s [anonymous]
INFO 2026-07-01 14:46:46,616 middleware 50088 59072 GET /api/grants/opportunities/?page_size=1 200 0.022s [anonymous]
INFO 2026-07-01 14:46:46,616 middleware 50088 2812 GET /api/notifications/alerts/unread_count/ 200 0.015s [anonymous]
INFO 2026-07-01 14:46:46,618 middleware 50088 59168 GET /api/budgets/financials/?page_size=1 200 0.018s [anonymous]
INFO 2026-07-01 14:46:46,619 middleware 50088 59076 GET /api/proposals/submissions/?page_size=1 200 0.021s [anonymous]
INFO 2026-07-01 14:46:46,635 middleware 50088 59072 GET /api/grants/opportunities/?page_size=1 200 0.013s [anonymous]
INFO 2026-07-01 14:46:46,664 middleware 50088 59168 GET /api/budgets/financials/?page_size=1 200 0.026s [anonymous]
INFO 2026-07-01 14:46:46,665 middleware 50088 2812 GET /api/notifications/alerts/unread_count/ 200 0.022s [anonymous]
INFO 2026-07-01 14:46:46,671 middleware 50088 59076 GET /api/proposals/submissions/?page_size=1 200 0.021s [anonymous]
INFO 2026-07-01 14:46:50,722 middleware 50088 2812 GET /api/proposals/submissions/?page_size=1 200 0.013s [anonymous]
INFO 2026-07-01 14:46:50,730 middleware 50088 59168 GET /api/budgets/financials/?page_size=1 200 0.020s [anonymous]
INFO 2026-07-01 14:46:50,735 middleware 50088 59072 GET /api/notifications/alerts/unread_count/ 200 0.022s [anonymous]
INFO 2026-07-01 14:46:50,734 middleware 50088 59076 GET /api/grants/opportunities/?page_size=1 200 0.027s [anonymous]
INFO 2026-07-01 14:46:50,746 middleware 50088 33988 GET /api/budgets/financials/?page_size=1 200 0.007s [anonymous]
INFO 2026-07-01 14:46:50,758 middleware 50088 2812 GET /api/proposals/submissions/?page_size=1 200 0.021s [anonymous]
INFO 2026-07-01 14:46:50,767 middleware 50088 59072 GET /api/notifications/alerts/unread_count/ 200 0.015s [anonymous]
INFO 2026-07-01 14:46:50,775 middleware 50088 59076 GET /api/grants/opportunities/?page_size=1 200 0.016s [anonymous]
INFO 2026-07-01 14:47:01,277 middleware 50088 59076 GET /api/grants/opportunities/?page_size=1 200 0.024s [anonymous]
INFO 2026-07-01 14:47:01,284 middleware 50088 2812 GET /api/budgets/financials/?page_size=1 200 0.025s [anonymous]
INFO 2026-07-01 14:47:01,294 middleware 50088 59072 GET /api/proposals/submissions/?page_size=1 200 0.038s [anonymous]
INFO 2026-07-01 14:47:01,294 middleware 50088 33988 GET /api/notifications/alerts/unread_count/ 200 0.033s [anonymous]
INFO 2026-07-01 14:47:01,466 middleware 50088 59072 GET /api/grants/opportunities/?page_size=1 200 0.014s [anonymous]
INFO 2026-07-01 14:47:01,468 middleware 50088 33988 GET /api/budgets/financials/?page_size=1 200 0.015s [anonymous]
INFO 2026-07-01 14:47:01,471 middleware 50088 59172 GET /api/notifications/alerts/unread_count/ 200 0.022s [anonymous]
INFO 2026-07-01 14:47:01,477 middleware 50088 59168 GET /api/proposals/submissions/?page_size=1 200 0.029s [anonymous]
INFO 2026-07-01 14:47:17,838 middleware 50088 33988 POST /api/auth/login/ 200 1.112s [anonymous]
INFO 2026-07-01 14:47:17,849 middleware 50088 33988 GET /api/auth/profile/ 200 0.007s [anonymous]
INFO 2026-07-01 14:47:17,896 middleware 50088 59172 GET /api/notifications/alerts/unread_count/ 200 0.019s [anonymous]
INFO 2026-07-01 14:47:17,898 middleware 50088 59168 GET /api/budgets/financials/?page_size=1 200 0.025s [anonymous]
INFO 2026-07-01 14:47:17,900 middleware 50088 33988 GET /api/grants/opportunities/?page_size=1 200 0.031s [anonymous]
INFO 2026-07-01 14:47:17,901 middleware 50088 59072 GET /api/proposals/submissions/?page_size=1 200 0.029s [anonymous]
INFO 2026-07-01 14:47:17,935 middleware 50088 2812 GET /api/notifications/alerts/unread_count/ 200 0.031s [anonymous]
INFO 2026-07-01 14:47:17,938 middleware 50088 59168 GET /api/grants/opportunities/?page_size=1 200 0.029s [anonymous]
INFO 2026-07-01 14:47:17,944 middleware 50088 59172 GET /api/budgets/financials/?page_size=1 200 0.030s [anonymous]
INFO 2026-07-01 14:47:17,947 middleware 50088 33988 GET /api/proposals/submissions/?page_size=1 200 0.036s [anonymous]
INFO 2026-07-01 14:47:20,553 middleware 50088 33988 GET /api/grants/opportunities/?page=1 200 0.010s [anonymous]
INFO 2026-07-01 14:47:26,916 middleware 50088 59172 GET /api/proposals/submissions/?page_size=1 200 0.024s [anonymous]
INFO 2026-07-01 14:47:26,919 middleware 50088 59168 GET /api/budgets/financials/?page_size=1 200 0.024s [anonymous]
INFO 2026-07-01 14:47:26,928 middleware 50088 33988 GET /api/grants/opportunities/?page_size=1 200 0.036s [anonymous]
INFO 2026-07-01 14:47:26,930 middleware 50088 2812 GET /api/notifications/alerts/unread_count/ 200 0.032s [anonymous]
INFO 2026-07-01 14:47:26,954 middleware 50088 59172 GET /api/proposals/submissions/?page_size=1 200 0.025s [anonymous]
INFO 2026-07-01 14:47:26,980 middleware 50088 59168 GET /api/budgets/financials/?page_size=1 200 0.044s [anonymous]
INFO 2026-07-01 14:47:26,981 middleware 50088 2812 GET /api/notifications/alerts/unread_count/ 200 0.024s [anonymous]
INFO 2026-07-01 14:47:26,989 middleware 50088 33988 GET /api/grants/opportunities/?page_size=1 200 0.015s [anonymous]
INFO 2026-07-01 14:47:30,029 middleware 50088 33988 GET /api/grants/opportunities/?page=1 200 0.010s [anonymous]
